"Name","Buy Price","Sell Price"
"Brass Knuckles","2500","800"
"Stun Baton","1 500","500"
"Pipe","1 500","500"
"Cattle Prod","1 500","500"
"Baseball Bat","1 800","600"
"Nailed Bat","1 800","600"
"Tomahawk \ ToMaraaK","5000","1 500"
"Downrange Tomahawk","5000","1 500"
"Combat Knife","5000","1 500"
"Ice Hockey Stick","2500","800"
"Katana","6000","1 800"
"Sword","6000","1 800"
"Scythe","6000","1 800"
"Nodaty \ Hogan/I","6000","1 800"
"Brass Knuckles","2500","800"
"Stun Baton","1 500","500"
"Pipe","1 500","500"
"Cattle Prod","1 500","500"
"Baseball Bat","1 800","600"
"Nailed Bat","1 800","600"
"Tomahawk \ ToMaraaK","5000","1 500"
"Downrange Tomahawk","5000","1 500"
"Combat Knife","5000","1 500"
"Ice Hockey Stick","2500","800"
"Katana","6000","1 800"
"Sword","6000","1 800"
"Scythe","6000","1 800"
"Nodaty \ Hogan/I","6000","1 800"
"Blaze","1 0000","2500"
"M70 Tundra","5000","1500"
"M70 Tundra","5000","1500"
"M70 Tundra","5000","1500"
"M70 Tundra","5000","1500"
"BK-1B","4000","1000"
"CR-527","4000","1000"
"SK 59/66","4000","1000"
"M1 Carbine","4000","1000"
"M14 Springfield","4000","1000"
"Mini-14","4000","1000"
